organisationid,shardid,shortcode,organisationstatus,createddateutc,signupdateutc,productoption,deleteddateutc,saleschannel,channeltype,salestaxbasis,salestaxperiod,salestaxtype,incometaxbasis,provisionaltaxbasis,managedbypracticeflag,payingflag,marketcode,nonpracticestaffusers,practicestaffusers,trialflag
9F7AC664-2DC6-4398-8CBC-0F853CD7084C,157,!Maf36,Active,2013-09-26 08:00:18.017,2017-08-01 00:00:00,Premium 20,,Online,Unknown,Australian Cash Basis,Australian Monthly,Australian GST,Australian Quarterly Installment (Option 1),None,0,1,AU,14,0,0
0F6B48FC-3CCC-49D0-A002-623C886255F2,133,!o8QJR,Active,2015-08-28 09:58:24,2015-11-30 00:00:00,Premium 20,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,4,3,0
2D4C097D-C4E9-48AB-918C-DB4B6A101672,108,!hyoDy,Deleted,2017-06-29 04:28:11,2019-08-06 00:00:00,Unknown,2019-10-29 14:49:11.36,Partner,Bookkeeper,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,0,AU,1,4,0
33289861-D05C-45DC-A375-CF819EF8AE5D,162,!nDXxw,Active,2016-07-25 04:28:11.263,2020-01-21 00:00:00,Ledger,2019-04-27 15:48:36.857,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,1,5,0
9805660B-A17C-441C-8CFD-7F192DE87588,120,!L2aOG,Active,2013-03-09 12:26:41,2013-03-15 00:00:00,Premium,,Online,Unknown,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,0,1,AU,4,0,0
A2C835C7-75D8-48C4-AF2C-73EE367F6CA3,132,!mRoza,Active,2015-04-09 05:15:21,2015-04-09 00:00:00,GST Cashbook,,Partner,Bookkeeper,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,3,11,0
5CC018E0-536A-4F93-A064-2A90FB6B1BAE,92,!oCPaC,Active,2018-08-01 07:02:54,2018-08-30 00:00:00,Premium 5 + Expenses,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,2,1,0
8054CF12-FBF3-4007-B93F-62A47F20FCC5,104,!0ZFG3,Active,2017-06-27 01:49:50,2017-06-27 00:00:00,Premium 5,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,2,5,0
CF97C55F-67B1-4544-B77D-544267A4F3F0,104,!h9rsm,Active,2017-06-14 22:42:41,2017-07-03 00:00:00,Premium,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,1,10,0
2D51BF3E-9B05-4D07-B496-E0B868FA7E9B,84,!9l2fo,Active,2017-03-21 04:56:05,2017-04-17 00:00:00,Premium 5,,Partner,Accountant,Australian Cash Basis,Australian Annual,Australian GST,None,None,1,1,AU,1,3,0
3CA96736-6642-4094-BDEE-8ADAB05D06A0,120,!6kQHG,Active,2012-12-27 09:40:48,2013-01-04 00:00:00,Premium 5,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,2,5,0
61D36257-146E-4AC1-A898-50047DB93468,162,!9Hj1P,Active,2016-08-05 08:42:34,2018-08-10 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,6,10,0
F2A077C1-E225-4007-A233-0D2B7444EBFF,132,!lIlXy,Active,2015-03-24 23:14:47,2015-03-25 00:00:00,Premium,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,3,5,0
2E3CAD62-F02A-4CDA-BF1A-8B6AA1935C16,133,!KfwYy,Active,2017-12-11 06:27:52,2017-12-11 00:00:00,Premium 20 + Expenses,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,11,18,0
E71F9538-0011-4CB9-B4B1-FD9B190D29DF,93,!ovyPw,Active,2017-07-26 04:52:07,2017-08-02 00:00:00,Premium 5,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,2,11,0
3F2D110D-7889-4672-81B4-D1623443D1FF,88,!aUPm9,Deleted,2016-04-23 01:58:41,2016-05-13 00:00:00,Unknown,2018-09-14 15:30:46.98,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,0,AU,1,3,0
256E4A18-1B07-4A27-B783-52B9A498F97E,120,!pZlBE,Active,2012-08-01 21:26:29.537,2012-08-02 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,0,15,0
F31204A3-A155-4E4E-B1FF-8610F284569E,156,!fjds3,Active,2011-08-26 02:48:55,2013-12-17 00:00:00,Premium 100,,Online,Unknown,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,None,None,0,1,AU,68,0,0
3D2A47C3-54B8-435A-BB31-B55A0ACC0265,103,!HAy7m,Active,2017-11-18 06:02:52,2017-12-20 00:00:00,Standard,,Partner,Bookkeeper,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,1,2,0
059BA718-5859-48DF-91D4-FF0B7D1F927F,88,!ZcSm2,Active,2017-07-26 05:42:22.717,2017-07-26 00:00:00,GST Cashbook,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,1,5,0
C427660B-D8D9-4F04-B0ED-1E12F2DF8D5E,114,!4TkkQ,Deleted,2014-05-26 01:49:34,2016-06-08 00:00:00,Unknown,2019-08-10 15:30:51.797,Online,Unknown,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,0,0,AU,49,0,0
6427F261-C78D-477B-94E8-283BC00E6193,88,!kRPlN,Active,2017-07-27 04:17:42,2017-12-14 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,2,5,0
E559252F-7FDA-4DB1-9146-596E8A7DBA24,88,!Uj8Oi,Active,2016-02-09 04:52:44,2017-12-04 00:00:00,Non-GST Cashbook,,Partner,Accountant,None,Australian Quarterly (Option 1),None,Australian Quarterly Installment (Option 1),None,1,1,AU,2,8,0
8ECED72A-8E1B-43C0-A11B-1C0AD7E990AC,88,!pAaUx,Active,2017-08-24 04:13:43,2019-05-31 00:00:00,GST Cashbook,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 2),Australian GST,None,None,1,1,AU,0,15,0
36DB753E-8630-4899-9171-72A935F5270A,126,!PCCBv,Active,2015-01-05 09:26:52,2015-01-05 00:00:00,Unknown,,Partner,Bookkeeper,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,0,0,AU,0,9,0
135AB2F2-101C-4F34-8466-97F7084FA068,157,!TP0h4,Deleted,2014-01-11 22:28:48,2015-01-27 00:00:00,Unknown,2018-08-16 15:30:53.70,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,0,AU,2,3,0
1D01B301-05DD-4540-8A15-742ED61A9EB3,156,!6nrEQ,Active,2012-08-20 05:57:01,2012-08-20 00:00:00,Premium 20,,Partner,Accountant,Australian Cash Basis,Australian Monthly,Australian GST,None,None,1,1,AU,3,13,0
2114CE61-6221-48B0-94F7-479D297D1F14,133,!Szi1p,Active,2018-02-22 08:53:28,2018-02-22 00:00:00,Premium 5,,Partner,Financial Advisor,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,3,9,0
EF9CEDAF-944F-436A-BC6A-C55CD955ADE4,127,!ondLM,Active,2015-12-15 00:49:25,2015-12-15 00:00:00,Standard,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,2,10,0
EBD7AE48-AE32-4B0E-9CF0-4BB7F348A06D,92,!FThs8,Active,2018-10-02 04:26:39,2018-10-18 00:00:00,Standard,,Partner,Bookkeeper,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,4,1,0
A7B27CBA-E9D2-4A76-B157-08EE01A350A0,93,!gAUOi,Active,2018-08-14 01:04:16,2020-02-10 00:00:00,Premium,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,3,5,0
1E18CA23-63A1-4197-8449-55ECED62FE6A,127,!khfAc,Active,2015-06-17 23:21:25,2015-06-18 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,3,3,0
103908B3-83D2-49C8-9995-ABF02BFD3CEB,110,!LzDuC,Active,2017-10-23 07:57:53,2018-01-23 00:00:00,Premium,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,7,8,0
5F40B56E-007B-45BF-8881-5FD612F2481E,127,!zBEuA,Active,2015-07-06 01:12:11,2015-07-06 00:00:00,Premium,,Partner,Accountant,Australian Cash Basis,Australian Annual,Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,3,7,0
F0C4231F-959B-47F9-B03E-7CF3081886C4,150,!AIvej,Active,2017-01-03 01:06:42,2017-01-04 00:00:00,Standard,,Partner,Bookkeeper,Australian Cash Basis,Australian Monthly,Australian GST,None,None,1,1,AU,1,3,0
845BE442-54EF-4406-92F0-040D9A8B427B,157,!LHPHp,Active,2013-07-03 01:16:50,2013-07-03 00:00:00,Premium 50,,Partner,Accountant,Australian Accrual Basis,Australian Monthly,Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,4,13,0
863FE9A1-5D48-40C2-8337-7348B5506F21,126,!aTOH0,Active,2015-03-03 04:49:27,2015-03-03 00:00:00,Premium 5,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,1,6,0
65D4FB54-2137-49D9-B4B0-E8F95BA02DA6,115,!TUsd4,Active,2014-09-25 00:56:20,2014-11-05 00:00:00,Premium 5,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,1,5,0
29CE4F55-0494-419B-8F8E-B7FFA5FF143F,84,!1NkVC,Active,2017-03-03 23:09:49,2017-08-15 00:00:00,Standard,,Partner,Accountant,Australian Accrual Basis,Australian Monthly,Australian GST,None,None,1,1,AU,5,5,0
70827B1A-6F36-4850-8A86-BFD343597448,120,!oVNd3,Active,2012-08-31 03:30:10,2015-09-25 00:00:00,Premium 20,,Partner,Bookkeeper,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Income Times (Option 2),None,1,1,AU,3,2,0
2EC6B9C7-ED0A-4167-AE9F-64E6B654F667,87,!ew9N0,Active,2017-02-07 05:24:55,2017-02-07 00:00:00,Premium 20,,Partner,Accountant,Australian Accrual Basis,Australian Monthly,Australian GST,None,None,1,1,AU,11,9,0
B55D3556-3BF6-44E7-9939-7A2578C03F7D,150,!BuFkh,Deleted,2016-11-14 02:49:52,2017-01-31 00:00:00,Unknown,2019-08-23 19:20:30.737,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,0,AU,3,1,0
591E1E16-5732-465C-AB9E-FE60E6B0ABF8,110,!jmWnF,Active,2018-01-30 03:30:58,2018-01-30 00:00:00,Premium 20,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,27,17,0
7EDC5276-9D73-4081-BB89-31AFABDB769F,72,!JfV02,Active,2016-07-02 23:37:51,2016-07-11 00:00:00,Standard,,Partner,Bookkeeper,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,3,3,0
07BE9173-D735-4D94-9E67-019384550B3F,134,!LUvym,Active,2015-08-25 10:31:20,2015-08-25 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,1,4,0
8C2938C7-FE11-4B31-8C0E-ED1718844C0D,144,!qf3Dc,Active,2015-05-28 06:07:56,2019-10-03 00:00:00,GST Cashbook,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,3,5,0
CC8B0584-C6DA-46E6-94C4-E01F94C9E377,87,!FSOmo,Active,2017-02-14 02:38:18,2017-02-14 00:00:00,Premium 50,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,4,10,0
4970C56F-A379-4D94-AD38-1A831BDCC77F,115,!y1SPq,Active,2014-08-24 00:48:01,2014-08-24 00:00:00,Premium,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,2,1,0
348C85D1-D5E6-4EB7-9CE0-0FFA27E414AA,102,!heswd,Active,2013-02-18 01:13:56,2013-02-18 00:00:00,Premium,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,1,13,0
E628B880-CB73-4E04-AF80-7B5F557CA8A8,88,!R5RHL,Deleted,2015-10-19 01:11:54,2015-10-30 00:00:00,Unknown,2017-09-15 15:30:34.323,Online,Unknown,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,0,0,AU,1,0,0
AD6700E5-CE0B-427D-B454-028B1E212012,87,!EZqvk,Active,2017-02-21 04:22:29,2018-06-20 00:00:00,Premium,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Income Times (Option 2),None,1,1,AU,8,2,0
9112EB92-A9C9-428D-89DB-38F23287780A,134,!VFrXl,Active,2016-05-30 02:39:41,2016-05-30 00:00:00,Unknown,,Partner,Bookkeeper,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,0,AU,0,1,0
7610D419-52C9-4427-B328-7333F37C395F,108,!canR1,Active,2013-05-31 07:57:32,2013-05-31 00:00:00,Premium 20,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,3,4,0
064C6B15-C11F-4BA9-B106-F2E912F250D3,151,!MW3Or,Active,2014-08-03 09:12:56.35,2016-02-04 00:00:00,Premium 5,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,4,2,0
2CCE6022-99C8-4111-815B-9495AF8A094E,87,!h8ixn,Active,2015-12-03 01:16:04,2015-12-03 00:00:00,Premium 20,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,5,3,0
0145A125-5E72-4346-BD05-C29D6B60ED76,138,!sKdeL,Active,2016-03-18 03:12:34,2016-03-30 00:00:00,Premium 5,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,6,5,0
5B4100F3-51D9-4A9A-8E13-83D9B7CCA396,134,!Bs3sp,Active,2016-05-12 03:49:44,2016-05-26 00:00:00,Premium 5,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,4,12,0
40B3758E-E3B9-445C-9768-8E86A9EAD147,162,!8k6lK,Active,2016-08-02 12:11:42,2016-08-29 00:00:00,Premium 5,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,1,2,0
AB5E65B4-0BEF-45DA-9BA8-14A5562DB467,120,!4HVpY,Active,2019-03-31 02:31:37,2019-03-31 00:00:00,GST Cashbook,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,0,3,0
7E55F4A9-F6F1-4E46-9954-EA73CBDE356A,72,!t743g,Active,2016-07-11 07:03:31,2020-01-28 00:00:00,Standard,2020-01-02 18:05:12.303,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,3,1,0
9837D09E-161D-4DED-B954-01D7B9AC1B4D,116,!yQJSo,Active,2014-12-11 09:12:44,2014-12-11 00:00:00,Premium,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Income Times (Option 2),None,1,1,AU,5,3,0
7F3FC0B8-CD83-460F-B050-AA024F78BFF7,114,!29xK9,Active,2014-07-11 01:51:30,2014-07-11 00:00:00,Standard,2019-05-08 20:21:05.383,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,2,2,0
257AE6DF-041C-4F88-B3C1-1DB79EE54C38,102,!oyanp,Active,2012-05-11 03:57:25,2012-05-11 00:00:00,Premium,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,11,21,0
AB967399-80A6-4FBD-9716-CAB4D9E2BD97,103,!HlUYv,Active,2017-09-07 12:45:12,2017-09-07 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,2,4,0
F3175193-568A-4EFD-974A-599722B8E1EC,134,!RIz36,Active,2017-09-27 23:49:28,2019-04-09 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,7,6,0
AC5B6543-A75C-4367-B3CD-2298DE5B429C,150,!fxeL2,Active,2014-06-18 05:39:14,2014-06-18 00:00:00,Premium,,Partner,Accountant,Australian Cash Basis,Australian Monthly,Australian GST,None,None,1,1,AU,2,21,0
D950F033-A676-4B74-B2A9-9F8484840D87,102,!MY0gq,Active,2017-05-03 01:49:56,2017-05-03 00:00:00,Premium,,Partner,Bookkeeper,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,7,2,0
1192AB71-5748-4003-B99A-BFC78BF5BE33,92,!721e7,Active,2016-05-16 04:29:37,2017-05-30 00:00:00,Premium,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,4,5,0
2BA004C5-D3D6-4CD4-A10D-C78DB39A98C6,157,!fzfRO,Active,2013-12-12 03:13:38,2018-02-08 00:00:00,Premium 20,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,6,7,0
CFDC572A-7128-408F-974C-3A929FC19E3E,115,!ko5lM,Active,2018-06-28 05:27:23,2019-10-02 00:00:00,Premium 20,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,4,2,0
A5C2DB5E-94B9-4FB9-91EE-B287B80E7BE4,139,!mg2xs,Active,2018-01-11 04:48:11,2018-01-11 00:00:00,Standard,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,0,4,0
8CD60858-38AE-463F-B020-E7CDABA97DC5,145,!59jkx,Deleted,2017-07-17 06:37:47,2017-07-17 00:00:00,Unknown,2018-01-01 18:40:06.007,Online,Unknown,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,0,0,AU,3,0,0
6CD4EDF8-9FDE-41DC-A570-80D72BE0B48F,88,!BhRBG,Active,2015-03-12 00:57:43,2015-05-14 00:00:00,Premium 100 + Expenses,,Online,Unknown,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,0,1,AU,92,0,0
6AF8E81F-3942-4F25-90FD-00632ACDC490,156,!BQrY2,Active,2012-10-04 09:40:31,2017-01-17 00:00:00,Premium 20,,Online,Unknown,Australian Accrual Basis,Australian Monthly,Australian GST,Australian Quarterly Installment (Option 1),None,0,1,AU,12,0,0
4AAFC325-76E6-44EE-AD84-0CF1618F8427,88,!HgV1X,Active,2015-07-02 02:24:05,2019-09-18 00:00:00,GST Cashbook,,Partner,Bookkeeper,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,1,1,0
2A4AB36C-A2FD-45E8-8308-FE087794EE49,104,!V2dzl,Active,2014-05-21 06:57:21,2015-11-25 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,2,7,0
6AE12B56-D645-4329-A3A0-93EE35597871,144,!YXlbN,Deleted,2015-11-12 06:32:56,2015-11-30 00:00:00,Unknown,2019-04-25 06:05:23.507,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,0,AU,4,7,0
